Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N3663,257420.432360242,329757.24342812196,P2027,P2028,Standard Gauge Track,null,0.0,,,,,
N3667,257446.4785425448,329840.7424128584,P2028,P2029,Standard Gauge Track,null,0.0,,,,,
N3679,257642.58609869995,330431.0851199942,P2029,P2030,Standard Gauge Track,null,0.0,,,,,
N3687,257796.31424092158,330898.5284948047,P2030,P2031,Standard Gauge Track,null,0.0,,,,,
N3692,257836.5924663854,331000.29334202845,P2031,P2032,Standard Gauge Track,null,0.0,,,,,
N3696,257868.4880356043,331067.8560087647,P2032,P2033,Standard Gauge Track,null,0.0,,,,,
N3700,257896.64107890436,331121.82051141985,P2033,P2034,Standard Gauge Track,null,0.0,,,,,
N3714,258049.48006133758,331372.328664547,P2034,P2035,Standard Gauge Track,null,0.0,,,Signal,P2034,
N3724,257000.70227734,328758.5987656693,P2010,P2011,Standard Gauge Track,null,0.0,,,,,
N4863,258243.98821945096,331685.6596374057,P2043,P2044,P2845,Standard Gauge Track,null,0.0,,Points:P2044-P2845/(P2043),,,N4863
N4865,258271.1369860092,331728.9576424858,P2044,P2045,Standard Gauge Track,null,0.0,,,Signal,P2045,
N4866,258305.00799286735,331783.93927202583,P2045,P2046,Standard Gauge Track,null,0.0,,,,,
N4870,258613.53797753644,332280.46924728627,P2046,P2047,Standard Gauge Track,null,0.0,,,,,
N4876,260259.34786618597,334931.9005978886,P2047,P2048,Standard Gauge Track,null,0.0,,,,,
N4883,260277.5499169947,334961.3784184962,P2820,P2891,Standard Gauge Track,null,0.0,,,,,
N4886,261055.50738261908,336213.34828553314,P2050,P2822,Standard Gauge Track,null,0.0,,,,,
N4899,258054.18916600247,331379.23547839816,P2035,P2036,P2037,Standard Gauge Track,null,0.0,,Points:P2035-P2037/(P2036),,,N4899
N4908,258074.84295831373,331407.4664230211,P2040,P2843,Standard Gauge Track,null,0.0,,,,,
N4909,258089.02814368036,331430.1195152752,P2040,P2818,Standard Gauge Track,null,0.0,,,,,HLH DOWN
N4912,258072.32633993655,331409.60554864176,P2038,P2844,Standard Gauge Track,null,0.0,,,,,
N4913,258182.3826643821,331589.00256751763,P2039,P2890,Standard Gauge Track,null,0.0,,,,,
N5210,258215.63817834316,331633.9508719246,P2042,P2819,Standard Gauge Track,null,0.0,,,,,
N5213,258229.0973823628,331656.65512133,P2042,P2043,Standard Gauge Track,null,0.0,,,Signal,P2042,
N5702,261411.5206715906,336785.5585813213,P2050,P2051,Standard Gauge Track,null,0.0,,,,,
N5709,261589.13672764777,337081.13354565954,P2051,P2052,Standard Gauge Track,null,0.0,,,,,
N5722,261659.62863138362,337255.9797933933,P2052,P2053,Standard Gauge Track,null,0.0,,,,,
N5729,261695.51968242938,337397.7601633196,P2053,P2054,Standard Gauge Track,null,0.0,,,,,
N5748,261813.68094308345,337877.95608438045,P2054,P2055,Standard Gauge Track,null,0.0,,,,,
N5751,261840.7071286574,337950.64213277324,P2056,P2895,Standard Gauge Track,null,0.0,,,,,
N5754,261857.25818642575,337989.6281256624,P2056,P2057,Standard Gauge Track,null,0.0,,,,,
N5760,261880.41388457542,338043.5564658228,P2057,P2058,Standard Gauge Track,null,0.0,,,,,
N5766,261898.8166844361,338099.228256234,P2058,P2059,Standard Gauge Track,null,0.0,,,,,
N5772,261909.5560556999,338158.1347388904,P2059,P2060,Standard Gauge Track,null,0.0,,,,,
N5778,261911.99877694473,338229.5819488228,P2060,P2061,Standard Gauge Track,null,0.0,,,,,
N5781,261907.90385094276,338275.30389798456,P2061,P2062,Standard Gauge Track,null,0.0,,,,,
N5788,261892.06668970594,338348.20646535006,P2062,P2063,Standard Gauge Track,null,0.0,,,,,
N5793,261867.65803683017,338413.1237646678,P2063,P2064,Standard Gauge Track,null,0.0,,,,,
N5804,261842.4300327268,338480.5155598111,P2064,P2065,Standard Gauge Track,null,0.0,,,,,
N5810,261824.2261000617,338553.093969302,P2065,P2066,Standard Gauge Track,null,0.0,,,,,
N5815,261810.09060556663,338595.8863569194,P2066,P2067,Standard Gauge Track,null,0.0,,,,,
N5821,261787.93881243296,338639.7880640879,P2067,P2068,Standard Gauge Track,null,0.0,,,,,
N5826,261759.35557947823,338680.7898329841,P2068,P2069,Standard Gauge Track,null,0.0,,,,,
N5833,261719.98798303568,338722.0094077416,P2069,P2070,Standard Gauge Track,null,0.0,,,,,
N5839,261683.1342383104,338751.8489028971,P2070,P2071,Standard Gauge Track,null,0.0,,,,,
N5850,261624.20386313912,338786.7416809792,P2071,P2072,Standard Gauge Track,null,0.0,,,,,
N5856,261570.1201176258,338806.75961417466,P2072,P2073,Standard Gauge Track,null,0.0,,,,,
N5864,261490.75228246234,338820.05927591556,P2073,P2074,Standard Gauge Track,null,0.0,,,,,
N5869,261412.198025303,338818.83812159894,P2074,P2075,Standard Gauge Track,null,0.0,,,,,
N5871,261357.65415338363,338813.4661247022,P2075,P2076,Standard Gauge Track,null,0.0,,,,,
N5877,261268.16532497137,338801.9472515057,P2077,P2825,Standard Gauge Track,null,0.0,,,,,
N5881,261219.97205892057,338785.30221008585,P2077,P2078,Standard Gauge Track,null,0.0,,,,,
N5886,261174.1778289469,338765.19349741156,P2078,P2079,Standard Gauge Track,null,0.0,,,,,
N5893,261104.26793148872,338721.0959486102,P2079,P2080,Standard Gauge Track,null,0.0,,,,,
N5897,261008.76419077403,338650.6505915114,P2080,P2081,Standard Gauge Track,null,0.0,,,,,
N5913,260845.26763550818,338514.7153353283,P2082,P2083,Standard Gauge Track,null,0.0,,,,,
N5916,260799.0677198634,338471.6154143766,P2083,P2084,Standard Gauge Track,null,0.0,,,,,
N6916,260909.83726079343,338573.19090619084,P2081,P2082,Standard Gauge Track,null,0.0,,,,,
N7144,259963.74686603705,338480.5050721776,P2101,P2102,Standard Gauge Track,null,0.0,,,,,
N7150,259969.29029299034,338430.07946173724,P2100,P2101,Standard Gauge Track,null,0.0,,,,,
N7154,259970.8537748045,338391.0063693724,P2099,P2100,Standard Gauge Track,null,0.0,,,,,
N7159,259977.9805510472,338344.4492043255,P2098,P2099,Standard Gauge Track,null,0.0,,,,,
N7168,259999.38067059204,338283.95280647546,P2097,P2098,Standard Gauge Track,null,0.0,,,,,
N7173,260033.45780550048,338232.52795970446,P2096,P2097,Standard Gauge Track,null,0.0,,,,,
N7181,260080.73763462523,338187.3168983878,P2095,P2096,Standard Gauge Track,null,0.0,,,,,
N7189,260144.86447381426,338149.9707497892,P2094,P2095,Standard Gauge Track,null,0.0,,,,,
N7196,260197.03384921845,338135.05943051295,P2093,P2094,Standard Gauge Track,null,0.0,,,,,
N7203,260257.71799950622,338130.34004444035,P2092,P2093,Standard Gauge Track,null,0.0,,,,,
N7209,260306.07166445456,338134.55838429026,P2091,P2092,Standard Gauge Track,null,0.0,,,,,
N7216,260357.78844320693,338150.3160200451,P2090,P2091,Standard Gauge Track,null,0.0,,,,,
N7220,260388.25698149984,338164.7591245458,P2089,P2090,Standard Gauge Track,null,0.0,,,,,
